id,address,contact,store_pay,store_code
1,서울특별시 동대문구 왕산로 214 지하 2층,010-1067-4846,0.965041268,0
2,서울특별시 성동구 왕십리로 241 서울숲더샵 엔터식스에비뉴 3층,010-2403-6777,0.999024539,0
3,서울특별시 성북구 동소문로 106 유타,010-2633-6750,0.387756766,0
4,서울특별시 강북구 도봉로 52 Y스퀘어 5층,010-1949-7686,0.53163257,0
5,서울특별시 중랑구 망우로 353 상봉 프레미어스 엠코,010-3725-2758,0.513893364,0
6,서울특별시 광진구 능동로 110,010-3473-8710,0.010131463,0
7,서울특별시 종로구 종로 51 종로타워 지하1층,010-8824-9080,0.350284954,0
8,서울특별시 광진구 광나루로56길 85 테크노-마트21 9층 전문식당가,010-6986-0791,0.376430934,0
9,서울특별시 노원구 동일로204가길 12 홈플러스중계점 2F,010-5601-2761,0.705276479,0
10,서울특별시 노원구 동일로204가길 46 2001아울렛 8층,010-5980-7022,0.279125181,0
11,서울특별시 강동구 구천면로 189 2001아울렛 5층,010-6421-0262,0.667349536,0
12,서울특별시 서초구 잠원로 69 뉴코아아울렛 3관 1층,010-5129-5230,0.031702128,0
13,"서울특별시 송파구 올림픽로 269 (신천동, 롯데캐슬골드) 지하1층",010-2721-4438,0.260962627,0
14,서울특별시 강남구 논현로 508,010-4411-1750,0.919646567,0
15,서울특별시 송파구 올림픽로 240 롯데월드 웰빙센터 3층,010-7964-0639,0.424812855,0
16,경기도 구리시 건원대로 3,010-2226-4890,0.557847396,0
17,서울특별시 서초구 서초대로77길 3 아라타워,010-0597-5702,0.56463125,0
18,서울특별시 도봉구 도봉로 678 홈플러스데스코 방학점,010-9460-0540,0.684366723,0
19,서울특별시 서대문구 신촌로 73 거화빌딩,010-8860-4514,0.76448819,0
20,서울특별시 영등포구 여의도동 86-5,010-4070-8805,0.622687111,0
21,서울특별시 영등포구 여의동로 290,010-5862-8988,0.957793032,0
22,서울특별시 마포구 양화로 129,010-1579-5824,0.248682283,0
23,서울특별시 영등포구 여의나루로 81,010-8204-0832,0.430011267,0
24,서울특별시 송파구 충민로 66 nc백화점 송파점 패션관 7층,010-3927-4141,0.561994096,0
25,서울특별시 관악구 남부순환로 1820 에그엘로우,010-4586-8453,0.698373258,0
26,서울특별시 구로구 경인로 661 신도림1차푸르지오,010-7746-7390,0.81086498,0
27,서울특별시 양천구 목동동로 309 행복한세상,010-7503-3858,0.209411561,0
28,서울특별시 구로구 디지털로 300 지밸리비즈플라자,010-3315-9356,0.234317922,0
29,경기도 의정부시 시민로 80 센트럴타워,010-0143-4916,0.076703978,0
30,경기도 성남시 중원구 성남대로 1136 뉴코아아울렛 지하1층,010-5550-5529,0.922143543,0
31,서울특별시 금천구 가산디지털1로 186 제이플라츠 2층,010-8105-0380,0.52082939,0
32,서울특별시 강서구 강서로56길 17 NC백화점 강서점 9층,010-4926-8860,0.342238499,0
33,서울특별시 금천구 시흥대로 201 홈플러스시흥점 2F,010-1159-6635,0.156824661,0
34,경기도 광명시 철산로 4 2001아울렛 지하2층,010-5184-8218,0.789641704,0
35,경기도 성남시 분당구 야탑로81번길 11 7층,010-1053-6443,0.385079711,0
36,경기도 안양시 동안구 동안로 119 뉴코아아울렛 10층,010-3373-5119,0.783481455,0
37,경기도 성남시 분당구 성남대로 491 롯데백화점분당점 B2,010-9286-7551,0.026738599,0
38,경기도 고양시 일산동구 중앙로 1206,010-3178-6489,0.694532632,0
39,경기도 성남시 분당구 성남대로 151 엠코헤리츠 2층,010-6695-8935,0.309017778,0
40,경기도 군포시 번영로 485 롯데피트인 산본점 8층,010-7509-2138,0.582693573,0
41,경기도 부천시 송내대로 239 뉴코아아울렛 4층,010-3386-1454,0.795861936,0
42,인천광역시 계양구 오조산공원로 14 홈플러스계산점,010-6327-5862,0.069285283,0
43,경기도 고양시 일산서구 중앙로 1581,010-7604-2000,0.442268555,0
44,경기도 김포시 풍무로 167,010-6473-4093,0.385257041,0
45,인천광역시 부평구 시장로 7 신라빌딩,010-4101-3898,0.015804413,0
46,경기도 용인시 수지구 광교중앙로295번길 3,010-7868-3604,0.663130178,0
47,인천광역시 부평구 마장로 489 아이즈빌아울렛,010-5064-7161,0.498031413,0
48,인천광역시 남동구 경원대로 971 홈플러스,010-7999-4032,0.635178548,0
49,경기도 김포시 김포한강11로255번길 15 상가동 1층 105호,010-4676-4386,0.917255698,0
50,인천광역시 남동구 인하로 485 뉴코아아울렛 9층,010-5304-3730,0.212114262,0
